Text,Cost
Bank pays you dividen of £50,50
Advance to Pall Mall. If you pass 'GO' collect £200,
Advance to Trafalgar Square. If you pass 'GO' collect £200,
You have won a crossword competition. Collect £100,100
Go back three spaces,
Take a trip to Marylebone Station and if you pass 'GO' collect £200,200
Advance to 'GO',200
Make general repairs on all of your buildings. For each house pay £25. For each hotel pay £100,
You are assessed for street repairs. £40 per house. £115 per hotel.,
Advance to Mayfair,
Pay school fees of £150,-150
"""Drunk in charge"" fine £20",-20
You building loan matures. Receive £150,150
Go to jail. Move directly to jail. Do NOT pass 'GO'. Do NOT collect £200,
Speeding fine £15,-15
Get out of jail free. This card may be kept until needed or sold,
